word,usage,definition
"Accentuating","p. pr. & vb. n.","of Accentuate"
"Accentuate","v. t.","To pronounce with an accent or with accents."
"Accentuate","v. t.","To bring out distinctly; to make prominent; to emphasize."
"Accentuate","v. t.","To mark with the written accent."
"Accentuation","n.","Act of accentuating; applications of accent."
"Accentuation","n.","pitch or modulation of the voice in reciting portions of the liturgy."
"Accepted","imp. & p. p.","of Accept"
"Accepting","p. pr. & vb. n.","of Accept"
"Accept","v. t.","To receive with a consenting mind (something offered); as, to accept a gift; -- often followed by of."
"Accept","v. t.","To receive with favor; to approve."